2fd26e523732bf0b5a83f286622f53a9,"dress, a-line, cap sleeves, round neck, ruffles"
dd12a4921cc0bb355ab89bb496c1aacb,"dress, slim fit, v-neck, cinched waist, sleeveless"
c02d8238ea456c6114d35a6a09fe189d,"dress, slim fit, wide shoulder straps"
249f183244da69b9d539659b15acb72a,"dress, fitted, cinched waist, round neck, cap sleeves"
0cf7b132d9a0f7bc042fe8634ad0769b,"dress, fitted, narrow shoulder straps, waist cutout"
6078173060248f7042ccc969ac3ca0ad,"dress, loose fit, round neck, bell sleeves"
f9ceaa4950fa75c96ea022b5be34ffc9,"dress, v-neck, puff sleeves, waist, ruching, overlapping placket"
8800ad0e8826e9f58894cf127946af7e,"dress, v-neck, ruffle, sleeves, wrap front, empire waist, cinched waist"
bb7edf60cb352a86584c2cc850a5ee9b,"dress, fitted, v-neck, one-piece sleeve, color-blocked waist, a-line skirt"
39e392fcd8a74707e8bf9d3986ccfcea,"dress, fitted, v-neck, sleeveless, narrow straps, spaghetti straps"
f3b72a4248cd310b16e71538f953bec8,"dress, fitted, v-neck, puff, short sleeves, panelled waist, overlapping placket"
0d75443d513a9770b75c5db0b173e744,"dress, fitted, v-neck"
528931e4e7d9426ebf87db651d225881,"dress, fitted, round neck, long sleeves, waist seam, a-line hem"
1dcc4dd04df072faf324022df96c9c4e,"dress, fitted, waist-cinching, short sleeves, shirt style, front placket, a-line skirt"
a604e1fcbbbcda6cf1d699fae16a64c0,"dress, round neck, loose fit, elastic waist, puff sleeves"
d3e233f59093cb87a79daa1117f9ce60,"dress, round neck, fitted waist, sleeveless, long length"
a1726154b7259e694959a36a72f8656e,"dress, round neckline, empire waist, fitted waist, leg-of-mutton sleeves"
25141e9d9052d63d81089893bce44ebf,"dress, loose fit, v-neck, sleeveless, cowhide, waist seam"
4c7b0f34770b39034ce53075cc6c9d79,"dress, loose fit, v-neck, puff, long sleeves, elastic seam, waist-cinching"
7552d04c1ed84bdd59ee066922e8b7c6,"dress, loose-fitting, round neck, puff sleeves, cuffed sleeves, cable knit"
d3ef5c9e91d13da94884de592c922e64,"dress, loose, stand collar, puff sleeves, cable knit"
9890a47d16b33a54cbdb05bd5d74362c,"dress, loose, blazer, collar, puff, long sleeves, overlapping placket, dropped waist"
c4b5612316550fb400209dd238fd4bf2,"dress, high collar, balloon sleeves, cocoon shape"
bb0a14800484550881dd6af1c6ffdc91,"dress, collar, sleeve, waist, ruching, loose"
